date,coin,start_price,high_price,low_price,end_price,average_price
2017/01/01,mona_jpy,2.90000000,3.00000000,2.80000000,2.80000000,2.91473875
2017/01/02,mona_jpy,2.90000000,2.90000000,2.80000000,2.90000000,2.85308127
2017/01/03,mona_jpy,2.80000000,3.00000000,2.80000000,2.90000000,2.88241587
2017/01/04,mona_jpy,2.90000000,2.90000000,2.80000000,2.80000000,2.89166590
2017/01/05,mona_jpy,2.90000000,3.20000000,2.90000000,3.10000000,3.02877109
2017/01/06,mona_jpy,3.00000000,3.10000000,2.90000000,2.90000000,2.94461752
2017/01/07,mona_jpy,3.00000000,3.10000000,2.90000000,2.90000000,2.92678362
2017/01/08,mona_jpy,2.90000000,3.00000000,2.80000000,2.90000000,2.89406719
2017/01/09,mona_jpy,2.90000000,2.90000000,2.80000000,2.90000000,2.85069799
2017/01/10,mona_jpy,2.80000000,3.00000000,2.80000000,2.90000000,2.91937696
2017/01/11,mona_jpy,2.90000000,3.00000000,2.80000000,2.90000000,2.93871978
2017/01/12,mona_jpy,3.00000000,3.00000000,2.90000000,3.00000000,2.96332939
2017/01/13,mona_jpy,2.90000000,3.00000000,2.90000000,3.00000000,2.94790399
2017/01/14,mona_jpy,2.90000000,3.00000000,2.90000000,3.00000000,2.99685044
2017/01/15,mona_jpy,2.90000000,3.00000000,2.90000000,2.90000000,2.97055172
2017/01/16,mona_jpy,3.00000000,3.00000000,2.90000000,3.00000000,2.98414379
2017/01/17,mona_jpy,3.00000000,3.10000000,2.90000000,3.00000000,3.00841448
2017/01/18,mona_jpy,3.10000000,3.10000000,2.90000000,3.00000000,3.02545424
2017/01/19,mona_jpy,3.00000000,3.10000000,2.90000000,3.00000000,3.01597929
2017/01/20,mona_jpy,2.90000000,3.10000000,2.90000000,3.10000000,3.00569371
2017/01/21,mona_jpy,3.00000000,3.00000000,2.90000000,3.00000000,2.99628822
2017/01/22,mona_jpy,2.90000000,3.10000000,2.90000000,3.00000000,2.98188330
2017/01/23,mona_jpy,3.10000000,3.10000000,3.00000000,3.10000000,3.01745632
2017/01/24,mona_jpy,3.00000000,3.10000000,2.90000000,3.10000000,3.01306605
2017/01/25,mona_jpy,3.00000000,3.10000000,2.90000000,2.90000000,2.99664596
2017/01/26,mona_jpy,3.00000000,3.10000000,3.00000000,3.00000000,3.02579248
2017/01/27,mona_jpy,3.00000000,3.10000000,2.90000000,3.00000000,2.98805056
2017/01/28,mona_jpy,3.00000000,3.10000000,3.00000000,3.00000000,3.03498549
2017/01/29,mona_jpy,3.10000000,3.10000000,3.00000000,3.00000000,3.00978515
2017/01/30,mona_jpy,3.10000000,3.10000000,2.90000000,3.00000000,2.98697219
2017/01/31,mona_jpy,3.10000000,3.10000000,3.00000000,3.10000000,3.09681472
2017/02/01,mona_jpy,3.00000000,3.10000000,2.90000000,2.90000000,2.98270092
2017/02/02,mona_jpy,3.00000000,3.10000000,2.90000000,3.10000000,3.04689648
2017/02/03,mona_jpy,3.00000000,3.10000000,2.90000000,3.00000000,3.00433024
2017/02/04,mona_jpy,3.00000000,3.10000000,2.90000000,3.10000000,2.96539960
2017/02/05,mona_jpy,3.00000000,3.10000000,2.90000000,3.00000000,3.00940558
2017/02/06,mona_jpy,3.00000000,3.10000000,2.90000000,3.10000000,2.99889724
2017/02/07,mona_jpy,3.00000000,3.10000000,2.90000000,3.10000000,3.00845412
2017/02/08,mona_jpy,3.00000000,3.30000000,3.00000000,3.30000000,3.10211227
2017/02/09,mona_jpy,3.20000000,3.60000000,3.10000000,3.40000000,3.35612071
2017/02/10,mona_jpy,3.30000000,3.80000000,3.20000000,3.40000000,3.53915873
2017/02/11,mona_jpy,3.50000000,3.50000000,3.30000000,3.40000000,3.42148347
2017/02/12,mona_jpy,3.40000000,3.50000000,3.40000000,3.40000000,3.40631684
2017/02/13,mona_jpy,3.40000000,3.50000000,3.30000000,3.40000000,3.31271800
2017/02/14,mona_jpy,3.40000000,3.40000000,3.20000000,3.40000000,3.30318167
2017/02/15,mona_jpy,3.20000000,3.30000000,3.10000000,3.30000000,3.15668961
2017/02/16,mona_jpy,3.30000000,3.40000000,3.20000000,3.20000000,3.34114192
2017/02/17,mona_jpy,3.30000000,3.30000000,3.20000000,3.30000000,3.27313123
2017/02/18,mona_jpy,3.20000000,3.40000000,3.20000000,3.40000000,3.33873715
2017/02/19,mona_jpy,3.30000000,3.40000000,3.20000000,3.20000000,3.32910398
2017/02/20,mona_jpy,3.20000000,3.40000000,3.20000000,3.30000000,3.24925137
2017/02/21,mona_jpy,3.30000000,3.50000000,3.20000000,3.40000000,3.37523958
2017/02/22,mona_jpy,3.40000000,3.50000000,3.30000000,3.30000000,3.38429198
2017/02/23,mona_jpy,3.40000000,3.50000000,3.30000000,3.40000000,3.41641550
2017/02/24,mona_jpy,3.50000000,3.60000000,3.40000000,3.50000000,3.49853321
2017/02/25,mona_jpy,3.60000000,3.80000000,3.50000000,3.50000000,3.67524944
2017/02/26,mona_jpy,3.60000000,3.70000000,3.50000000,3.50000000,3.52055922
2017/02/27,mona_jpy,3.50000000,3.60000000,3.40000000,3.60000000,3.45029146
2017/02/28,mona_jpy,3.50000000,3.80000000,3.40000000,3.70000000,3.63215031
2017/03/01,mona_jpy,3.60000000,4.20000000,3.50000000,4.10000000,3.92836459
2017/03/02,mona_jpy,4.00000000,6.00000000,4.00000000,5.30000000,4.84691401
2017/03/03,mona_jpy,5.30000000,6.00000000,5.20000000,5.80000000,5.69974706
2017/03/04,mona_jpy,5.80000000,6.20000000,5.60000000,6.20000000,5.92967992
